iter	RMSE
0	0.1379758397
1	0.1341380647
2	0.1304065767
3	0.1268051046
4	0.1233276158
5	0.1199189771
6	0.1166379573
7	0.1135084866
8	0.1104379644
9	0.1074218381
10	0.1044853285
11	0.1016885474
12	0.09903182753
13	0.09637983121
14	0.09384318879
15	0.09141289843
16	0.08895987529
17	0.08659750464
18	0.08429366184
19	0.08219796935
20	0.08003553881
21	0.07800808088
22	0.07597180012
23	0.07400889118
24	0.07213800315
25	0.07030915522
26	0.06851789507
27	0.066785555
28	0.06509743323
29	0.06348845879
30	0.06196797015
31	0.06043099457
32	0.05894046474
33	0.05752024921
34	0.05613240138
35	0.05476750177
36	0.05345376906
37	0.05215916767
38	0.0509256172
39	0.04969274713
40	0.04857280072
41	0.04749680822
42	0.04638118925
43	0.0453316413
44	0.0442859269
45	0.04332575384
46	0.0423865046
47	0.04146983932
48	0.04059986487
49	0.0397364221
50	0.03889457748
51	0.03805695827
52	0.03729299309
53	0.03653255156
54	0.03579712306
55	0.0351157002
56	0.03442397181
57	0.03378140194
58	0.03314232135
59	0.03252974955
60	0.03192007623
61	0.03135832457
62	0.03080970272
63	0.03029340882
64	0.02978181794
65	0.02930428825
66	0.02883447116
67	0.02835916278
68	0.02793796424
69	0.02749700622
70	0.02707719232
71	0.02670277702
72	0.02632139518
73	0.02594253897
74	0.02559435268
75	0.02526282848
76	0.02494317489
77	0.02462649233
78	0.02431307338
79	0.02401725964
80	0.02373591474
81	0.02346290943
82	0.02320650139
83	0.02295827064
84	0.02271939573
85	0.02250219309
86	0.0222769589
87	0.02205046994
88	0.02183650685
89	0.0216340455
90	0.02143776559
91	0.02126087964
92	0.02108533071
93	0.02091456379
94	0.02075623444
95	0.02059956188
96	0.02044075971
97	0.02029204662
98	0.02015060942
99	0.02001099601
100	0.01987986388
101	0.01974771859
102	0.0196265787
103	0.01950572335
104	0.01939172279
105	0.01928637435
106	0.01918227832
107	0.01907276774
108	0.01897721297
109	0.01888264237
110	0.01878977705
111	0.01869847607
112	0.01861062988
113	0.01853278522
114	0.01845359633
115	0.01838080476
116	0.01830298608
117	0.01823042282
118	0.01815978963
119	0.01808922646
120	0.01802945183
121	0.01796160643
122	0.01789572575
123	0.01783847108
124	0.01777473665
125	0.0177166048
126	0.01766091228
